SMILES,Density (g/cm^3),van der Waals volume (cm^3/g),FFV,SCScore
*O[Si](C)(c1ccc(C)cc1C(C)C)*,1.008 ,0.589 ,0.228 ,2.247 
*O[Si](C)(C)c1ccc(cc1C(C)C)*,1.008 ,0.589 ,0.228 ,2.151 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)N[Si](C)(c1ccccc1)*,1.008 ,0.589 ,0.228 ,2.291 
*N=[PH](Nc1ccccc1)(c1ccc(Br)cc1)*,1.427 ,0.416 ,0.228 ,2.125 
*/C=C/C(/C)=C(\CCCC(F)(F)F)/*,1.444 ,0.411 ,0.228 ,3.019 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)On1cc(C)c(c1C(C)C)*,0.972 ,0.611 ,0.228 ,2.767 
*O[Si](C)(C)OC(OC)*,0.995 ,0.596 ,0.228 ,1.860 
*OC(O[Si](C)(C)C)O*,0.995 ,0.596 ,0.228 ,1.708 
*/C(/Oc1ccc(C#N)c(C)c1)=N/c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)*,1.105 ,0.537 ,0.228 ,3.136 
*Oc1cc(C(=O)O)cc(c1Br)c1ccc(cc1)C(=O)*,1.407 ,0.422 ,0.228 ,2.793 
*CCCCCCCCCCSSC(=O)Nc1ccc(cc1)c1ccc(cc1)NC(=O)O*,1.054 ,0.563 ,0.228 ,2.942 
*CC(c1cc(I)cc(OCC(CC)CCCC)c1)*,1.036 ,0.573 ,0.228 ,2.885 
*Oc1cc(C(=O)O)cc(c1Br)C(=O)Nc1ccc(cc1)*,1.407 ,0.422 ,0.228 ,2.791 
*Sc1ccc(cc1)OC(=O)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(N(C)CC)c(c1)OC(=O)*,1.149 ,0.517 ,0.228 ,3.922 
*O[Si](C)(CC[Si](C)(C)C(C)C)*,0.914 ,0.650 ,0.228 ,2.134 
*N=P(CC[Si](C)(C)[Si](C)(C)C)(OC)*,0.936 ,0.634 ,0.228 ,2.399 
*Oc1cccc(c1)S(=O)(=O)N(C)OC(=O)c1ccc(cc1)*,1.198 ,0.495 ,0.228 ,2.552 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(COCCOCCOC)*,0.976 ,0.608 ,0.228 ,2.552 
*O[Si](C)(C)c1ccc(cc1)[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(NCC)c1ccc(cc1)*,1.071 ,0.554 ,0.228 ,2.903 
*/C=C/c1cc(OC)c(c(Cl)c1Br)/C=C/c1ccc(cc1)*,1.416 ,0.419 ,0.228 ,2.944 
*N=P(Oc1cc(C)ccc1Br)(c1cc(O)ccc1C)*,1.421 ,0.418 ,0.228 ,2.503 
*Sc1cccc(c1)NC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)Nc1ccc(C)cc1NC(=O)c1cccc(c1)C(=O)*,1.259 ,0.472 ,0.228 ,4.193 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(c(C(C)(C)C)c1)*,1.017 ,0.584 ,0.228 ,2.589 
*c1ccc(cc1)c1ccc(cc1)[Si](CC)(O[Si](C)(C)CC)*,1.055 ,0.563 ,0.228 ,2.400 
*c1ccc(cc1)[Si](c1ccccc1)c1ccc(cc1)S(=O)(=O)O[Si](C)(C#N)*,1.148 ,0.517 ,0.228 ,1.991 
*OC(=O)c1ccc(cc1C)OC[Si](C)(C)O[Si](C)(Cc1ccccc1)c1ccc(cc1)/N=C/c1cc(C)c(cc1C)*,1.123 ,0.529 ,0.228 ,3.519 
*CCCCCC(C#CC)CCC#CC#CCOc1ccc(/C=C/c2ccccc2)cc1*,0.997 ,0.595 ,0.228 ,3.908 
*CCCCCCCCCCCCOc1ccc(cc1)/C=C/c1ccc(cc1)OCc1cc(C)c(cc1OCC(CCCC)CCCC)*,0.984 ,0.604 ,0.228 ,3.782 
*/C=C/c1cc(Br)c(cc1OC(=O)C)*,1.419 ,0.418 ,0.228 ,2.232 
*N=P(Nc1ccc(Br)cc1)(Oc1ccc(C)cc1)*,1.415 ,0.420 ,0.228 ,2.036 
*CCc1ccc(cc1)[Si](C)(C)c1ccc(cc1)C(C)([Si](C)(C)O[Si](C)(C)C)*,1.028 ,0.577 ,0.228 ,2.678 
*O[Si](C)(C)c1ccccc1C(CO)*,1.009 ,0.588 ,0.228 ,2.092 
*CC=C(OC)O[Si](C)(CCOCCO)*,0.968 ,0.613 ,0.228 ,2.311 
*c1ccc(cc1)OC1=CC(C(C)(C)C)=C1C(C)(C)c1ccc(cc1)c1ccc(c(I)c1)*,1.036 ,0.573 ,0.228 ,3.951 
*O[Si](C)(OCC)*,1.019 ,0.582 ,0.228 ,1.406 
*O[Si](C)(C)c1ccc(cc1C(CC)CCCCCC)/C=C(/C)\c1cc(cc(CCCC)c1)*,0.974 ,0.609 ,0.228 ,3.764 
*Cc1cc(ccc1OC)C(C)(C)[Si](C)(C)*,0.990 ,0.600 ,0.228 ,2.467 
*O[Si](C)(c1c(F)c(Cl)c(Cl)c(Br)c1Cl)*,1.387 ,0.428 ,0.228 ,2.547 
*CC(c1cc(C(CC)CCC)ccc1c1ccc(F)c(F)c1F)*,1.270 ,0.467 ,0.228 ,3.853 
*CC(c1cc(I)ccc1C(C)C)*,1.008 ,0.589 ,0.228 ,2.436 
*CC(c1ccc(I)cc1C(C)C)*,1.008 ,0.589 ,0.228 ,2.282 
*Nc1cccc(c1)NC(=O)c1ccc(cc1)S(=O)(=O)CN(c1ccccc1)*,1.186 ,0.500 ,0.228 ,3.050 
*c1ccc(cc1)Sc1cc(Br)c(c(OCCCCCC)c1)*,1.247 ,0.476 ,0.228 ,2.820 
*Oc1ccc(c(c2ccc(c3ccc(Br)cc3)cc2OC)c1)*,1.429 ,0.415 ,0.228 ,2.711 
*Oc1ccc(Br)cc1c1ccc(cc1OC)c1ccc(cc1)*,1.429 ,0.415 ,0.228 ,2.852 
*c1ccc(cc1)O[Si](C)(C)c1ccc(nc1)Sc1ccc(cc1)*,1.146 ,0.518 ,0.228 ,2.647 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(cc1)C(C)(C)c1ccc(cc1)[Si](C)(C)*,1.057 ,0.562 ,0.228 ,2.900 
*OC(OCCO[Si](C)(C)C)*,0.972 ,0.611 ,0.228 ,1.552 
*C#C/C(/C)=C(\C[Si](C)(C)C)/*,0.875 ,0.678 ,0.228 ,1.791 
*Nc1ccccc1c1ccc(cc1)[Si](C)(c1ccc(S(=O)(=O)Oc2ccc(S(=O)(=O)c3ccc(C)c(C)c3)cc2)cc1)*,1.174 ,0.505 ,0.228 ,3.870 
*CCCCC[Si](C)(O[Si](C)(C)CCCN(C)C)*,0.947 ,0.627 ,0.228 ,2.553 
*N=P(COC(CC)(CCCC)CCOCCOCCOCC(F)(F)F)(C(F)(F)F)*,1.460 ,0.407 ,0.228 ,3.642 
*O[Si](C)(C)c1cc(O)c(cc1OC)C(C)(C)c1ccc(cc1)*,1.060 ,0.560 ,0.228 ,2.838 
*Nc1ccc(cc1Br)/C=N/c1cc(ccc1c1ccccc1)*,1.416 ,0.419 ,0.228 ,2.427 
*Nc1ccc(cc1C)c1ccc(c(Br)c1)Sc1ccc(cc1)*,1.426 ,0.416 ,0.228 ,2.626 
*Oc1ccc(c(C)c1)Cc1ccc(cc1Br)C(=S)*,1.404 ,0.423 ,0.228 ,2.665 
*O[Si](C=Cc1ccccc1)(Oc1ccc(C(C)C)cc1)*,1.036 ,0.573 ,0.228 ,2.661 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(OC(C)C)*,0.981 ,0.605 ,0.228 ,2.787 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(c1ccc(COC(C)C)c(N)c1)*,1.037 ,0.572 ,0.228 ,3.046 
*O[Si](C)(CCCCCN1CCC(CC(C)(C)C)C1)*,0.944 ,0.629 ,0.228 ,3.906 
*OCCN(CC[Si](C)(C)C=C)*,0.962 ,0.617 ,0.228 ,2.137 
*CC#C[Si](C)(C)c1ccc(cc1)C(C)c1ccc(cc1)C(C)(C)c1ccc(cc1)*,1.032 ,0.575 ,0.228 ,2.884 
*O/C=C/c1cc(Cl)c(c(OC(=O)c2ccc(Br)cc2)c1)*,1.425 ,0.417 ,0.228 ,2.531 
*Oc1ccc(/C=N/CC/N=C/c2ccc(N(C)CC)cc2)c(c1)*,1.102 ,0.539 ,0.228 ,3.029 
*Sc1ccc(c(S(=O)(=O)O)c1)Sc1ccc(cc1[N-]S)Nc1ccc(cc1)Nc1ccc(cc1)*,1.242 ,0.478 ,0.228 ,3.676 
*CCC[Si](C)(O[Si](C)(C)CCC=CC)*,0.915 ,0.649 ,0.228 ,2.143 
*c1ccc(c(NCCN(CC)c2ccccc2)c1)*,1.096 ,0.542 ,0.228 ,2.447 
*/C=C/c1ccc(cc1c1ccc(OCCCC)cc1)c1cc(OCCCCCCCCCC)c(cc1OCC(C)CCCCC)*,0.988 ,0.601 ,0.228 ,4.542 
*OCC(OCC)[Si](C)(C)*,0.973 ,0.610 ,0.228 ,1.786 
*O[Si](C)(C)O[Si](C)(Oc1ccc(C(C)(C)c2ccc(C#N)cc2)cc1)*,1.060 ,0.560 ,0.228 ,2.902 
*O[Si](C)(C)O[Si](C)(C)Oc1ccc(cc1)C(C)(C)c1ccc(cc1)*,1.059 ,0.560 ,0.228 ,2.438 
*N=P(Nc1ccc(Br)cc1)(Oc1cccc(OC)c1)*,1.432 ,0.415 ,0.228 ,2.479 
*CC(c1cc(CCCCCCC)ccc1c1ccc(CCCCCCCCCCCC)cc1)*,0.974 ,0.609 ,0.228 ,4.018 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(Cl)COC(=O)c1ccccc1C(=O)*,1.133 ,0.524 ,0.228 ,2.440 
*c1ccc(c(Sc2ccccc2)n1)[Si](C)(C)*,1.067 ,0.556 ,0.228 ,1.969 
*O[Si](C)(C)O[Si](C)(CCC)C(c1ccc(I)cc1)*,1.077 ,0.551 ,0.228 ,2.619 
*OC1COC[Si](C)(O[Si](C)(C)O[Si](C)(C)O[Si]1(C)C)*,0.977 ,0.608 ,0.228 ,2.722 
*CC(C)(C(=O)Oc1ccc(C(C)(C)C)cc1I)*,1.088 ,0.546 ,0.228 ,2.103 
*/C=C(\C#N)/O[Si](C)(C)*,0.961 ,0.618 ,0.228 ,1.756 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1ccc(cc1)C(C)(C)c1ccc(cc1)*,1.057 ,0.562 ,0.228 ,2.586 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1ccc(cc1)C(C)(C)c1ccc(cc1)[Si](C)(C)*,1.057 ,0.562 ,0.228 ,2.993 
*CC(CCCCCCOc1ccc(c2ccc(CCCCCCCCC)cc2)cc1)*,1.000 ,0.594 ,0.228 ,3.692 
*OS(=O)(=O)c1ccc(cc1)[Si](C)(C)c1ccc(cc1)N(C#CC)*,1.141 ,0.520 ,0.228 ,2.374 
*Nc1ccc(cc1)Sc1ccc(cc1)C[Si](C)(Oc1ccccc1)*,1.139 ,0.521 ,0.228 ,2.672 
*CC(c1ccccc1)C(c1ccccc1C#N)*,0.991 ,0.599 ,0.228 ,2.276 
*CCOCCOC[Si](C)(C)O[Si](C)(C)*,0.975 ,0.609 ,0.228 ,2.052 
*/C=C/c1cc(OCC(CC)CCCC)c(cc1OCC(C)CCCCCC)C#Cc1ccc(s1)*,0.990 ,0.600 ,0.228 ,4.335 
*CC(CCOC(F)(F)F)*,1.463 ,0.406 ,0.228 ,1.938 
*O[Si](C)(CC#C)*,0.972 ,0.611 ,0.228 ,1.386 
*Sc1ccc(cc1)/C=N/NCCN(C)c1ccc(cc1)*,1.148 ,0.517 ,0.228 ,2.744 
*O[Si](C)(CC[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C(C)C)*,0.969 ,0.612 ,0.228 ,2.651 
*O[Si](C)(C)Oc1ccc(c(S(=O)(=O)O)c1)Oc1ccc(cc1)C(=O)*,1.150 ,0.516 ,0.228 ,2.707 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C(C)C)*,0.972 ,0.611 ,0.228 ,2.348 
*CCC(CC)CN(OCCC)*,0.946 ,0.627 ,0.228 ,2.633 
*Oc1cc(SCCC(CC)CCCCC)c(cc1OCCCCCCCCC)*,1.022 ,0.581 ,0.228 ,2.966 
*OP(=O)(c1ccccc1)OCc1ccc(Cc2ccc(C)c(N)c2)c(c1Br)*,1.419 ,0.418 ,0.228 ,3.631 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OC(C)*,0.980 ,0.606 ,0.228 ,2.086 
*O[Si](CCC)(NCC)*,0.975 ,0.609 ,0.228 ,1.563 
*/C=C/c1ccc(cc1)OCC[Si](C)(C)[Si](C)(C)O[Si](C)(C)c1ccc(cc1)*,1.062 ,0.559 ,0.228 ,3.215 
*O[Si](C)(C)OC(=O)c1ccc(cc1)C(=O)OC(=O)c1ccc(cc1)C(=O)*,1.153 ,0.515 ,0.228 ,2.177 
*OC(=O)c1ccc(cc1)C(=O)O[Si](C)(C)OC(=O)c1ccc(cc1)C(=O)*,1.153 ,0.515 ,0.228 ,2.045 
*O[Si](C)(C)CCOC(=O)*,1.096 ,0.542 ,0.228 ,1.802 
*Oc1ccc(/C=N/c2ccc(OC(=O)C)c(C(F)(F)F)c2)c(c1OCCCCCCCCCC)*,1.280 ,0.464 ,0.228 ,3.445 
*O[Si](C)(C)c1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)*,1.145 ,0.519 ,0.228 ,3.623 
*c1ccc(c(Br)c1)Oc1ccc(cc1)Oc1ccc(cc1)c1ccc(o1)*,1.440 ,0.412 ,0.228 ,2.823 
*Oc1ccc(cc1)c1ccc(cc1Br)Oc1ccc(cc1)*,1.440 ,0.412 ,0.228 ,2.922 
*Oc1ccc(c2ccc(Oc3ccc(Br)cc3)cc2)cc1*,1.440 ,0.412 ,0.228 ,2.281 
*CC(O)CN(CBr)c1ccc(cc1)N(CCCC)*,1.213 ,0.489 ,0.228 ,3.383 
*CC(c1cccc([Si](C)(O)O[Si](C)(C)O)c1)*,0.995 ,0.597 ,0.228 ,2.093 
*Oc1ccc(nc1Br)Oc1ccc(cc1C(=O)Oc1ccccc1)NC(=O)c1ccc(cc1)C(=O)*,1.424 ,0.417 ,0.228 ,3.673 
*Cc1cc(CCCCCCCCCCCCCCCCCC(C)C)c(cc1OCC)*,0.926 ,0.641 ,0.228 ,3.660 
*CCOCCOC[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)*,0.977 ,0.608 ,0.228 ,2.594 
*O[Si](C)(C)[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)c1ccc(c(S(=O)(=O)O)c1)*,1.107 ,0.536 ,0.228 ,2.613 
*Oc1ccc(cc1Br)Oc1ccc(cc1)Oc1ccc(c(/C=C/c2ccc(C)cc2)c1)S(=O)(=O)c1ccc(cc1)C(=O)c1ccc(cc1)*,1.402 ,0.423 ,0.228 ,3.520 
*N=P(C)(S[Si](C)(C)C[Si](C)(C)C)*,1.008 ,0.589 ,0.228 ,1.897 
*/C(/C)=C(\c1ccccc1)/c1cccc(c1)[Si](C)(c1ccccc1)*,1.046 ,0.568 ,0.228 ,2.607 
*NC(CC(F)(F)F)CC(F)(F)*,1.445 ,0.411 ,0.228 ,2.719 
*CC(C(=S)OCCCCCCN(CC)c1ccccc1)*,0.986 ,0.602 ,0.228 ,3.175 
*c1cc(OCC(CC)CCCC)c(cc1O)*,1.001 ,0.593 ,0.228 ,2.323 
*COC[Si](C)(CC)OC(=O)c1ccncc1C(=O)O*,1.124 ,0.528 ,0.228 ,2.968 
*CCCC(=O)NC(C)S*,1.023 ,0.580 ,0.228 ,2.161 
*Oc1cc(C)c(c(c2ccccc2)c1OCC(CC)CCCC)C#Cc1ccc(cc1)*,1.011 ,0.587 ,0.228 ,3.662 
*Oc1ccc(cc1)/N=N/c1ccc(cc1)SCCCCCCCCCCS(=O)(=O)C(C)CCC(=O)*,1.053 ,0.564 ,0.228 ,3.799 
*Oc1cc(C(C)(C)c2ccc([Si](C)(C)C)cc2)c(nc1c1ccccc1)*,0.993 ,0.598 ,0.228 ,3.263 
*c1cc(OCC(CC)CCCC)c(c(OC)c1[2H])*,1.002 ,0.592 ,0.228 ,2.946 
*c1c(C)cc(cc1Br)CSSCC(=O)N(c1ccccc1)*,1.420 ,0.418 ,0.228 ,2.737 
*O[Si](C)(C)C[Si](C)(CCc1ccccc1)*,0.954 ,0.623 ,0.228 ,2.012 
*O[Si](C)(C)CC[Si](C)(Cc1ccccc1)*,0.954 ,0.623 ,0.228 ,2.189 
*O[Si](C)(Cc1ccccc1)CC[Si](C)(C)*,0.954 ,0.623 ,0.228 ,1.967 
*O[Si](C)(CCCN(CCC)CCCC)*,0.950 ,0.625 ,0.228 ,2.503 
*Nc1cc(COC(C)CCC(C)C)c(cc1CCCCCCCCCCC)*,0.978 ,0.607 ,0.228 ,3.910 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)OCC(O[Si](C)(C)CO)*,0.977 ,0.608 ,0.228 ,2.537 
*c1sc(c(OCC[Si](C)(C)C)c1OC)*,0.985 ,0.603 ,0.228 ,2.101 
*Nc1ccc(cc1)CCc1ccc(cc1)/C=C/[Si](C)(C)[Si](C)(C)c1ccc(cc1)*,1.058 ,0.561 ,0.228 ,2.498 
*CC(C)C(c1ccc(C#C)c(OC)c1)*,0.998 ,0.595 ,0.228 ,2.589 
*O[Si](C)(NCCOCCOCCOCCOCCOCCOCCOCCOC)*,0.998 ,0.595 ,0.228 ,2.341 
*O[Si](C)(C)CNC(=O)C(=O)N[PH](=O)(=O)*,1.118 ,0.531 ,0.228 ,2.426 
*CC(CC(OC)c1ccccc1I)*,1.067 ,0.557 ,0.228 ,2.105 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)Oc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)*,1.112 ,0.534 ,0.228 ,2.942 
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)O[Si](C)(C)c1ccc(cc1)N(c1ccc(C)cc1)*,1.139 ,0.521 ,0.228 ,3.307 
*O[Si](C)(C)C(=O)Cc1ccc(c(Br)c1)OC(=O)c1ccc(cc1)S(=O)(=O)*,1.375 ,0.432 ,0.228 ,3.037 
*C(=O)c1ccc(C(=O)NOC(=O)c2ccccc2Br)cc1C(=O)*,1.416 ,0.419 ,0.228 ,2.379 
*C[Si](C)(c1cc([2H])nc(Cl)c1Cl)*,1.185 ,0.501 ,0.228 ,2.466 
*OC(=O)Oc1ccc(cc1)[Si](C)(C)Oc1ccc(cc1)S*,1.148 ,0.517 ,0.228 ,2.217 
*Oc1ccc(cc1)/C=N/c1ccc(cc1)N(c1ccccc1)c1ccc(C)c(c1)*,1.111 ,0.534 ,0.228 ,3.072 
*/C=C/c1cc(OCCCCCCCCCC)c(cc1SC)/C=N/c1ccc(cc1OCC(CC)CCCC)/N=C/c1ccc(cc1)*,1.003 ,0.592 ,0.228 ,4.373 
*/C=C/c1cc(OCCCCC(C)C)c(cc1OC)Oc1ccc(cc1OCCCCCCCCCCCC)c1cc(C)c(o1)*,0.986 ,0.602 ,0.228 ,4.503 
*/C=C(\c1cc(O)c(Cl)c(OCCCCCCCC)c1Br)/*,1.237 ,0.480 ,0.228 ,3.477 
*OC(=O)c1ccc(cc1)Sc1ccc(cc1)N(C)*,1.196 ,0.496 ,0.228 ,2.302 
*Nc1cc(ccc1O)C=Nc1ccc(c(Br)c1)*,1.417 ,0.419 ,0.228 ,1.986 
*Sc1cc(O)cc(c1O)*,1.187 ,0.500 ,0.228 ,1.784 
*/C=C/c1ccc(cc1)[Si](CC)(Oc1ccc(C)cc1)*,1.064 ,0.558 ,0.228 ,2.081 
*Nc1ccc(c(Br)c1)Oc1ccc(cc1)*,1.438 ,0.413 ,0.228 ,1.971 
*Oc1ccc(cc1)Nc1ccc(cc1Br)*,1.438 ,0.413 ,0.228 ,1.721 
*CCCCCC[Si](C)(O[Si](C)(C)C)*,0.914 ,0.650 ,0.228 ,1.951 
*CCCCCC[Si](C)(C)O[Si](C)(C)*,0.914 ,0.650 ,0.228 ,1.860 
*O[Si](C)(CCCCCC[Si](C)(C)C)*,0.914 ,0.650 ,0.228 ,2.385 
*c1ccc(nc1)[Si](C)(O[Si](C)(C)CCCC)*,0.924 ,0.643 ,0.228 ,2.222 
*CCOC#C[Si](C)(CS(=O)(=O)C#N)*,1.083 ,0.548 ,0.228 ,1.813 
*c1ccc(cc1C)OCCCCCCOc1c(Br)cc(c2ccccc2)c(c1F)*,1.216 ,0.488 ,0.228 ,3.613 
*c1cc(Br)cc(c1)[Si](c1ccccc1)(c1ccc(Cl)cc1)*,1.396 ,0.425 ,0.228 ,1.988 
*/C=C/c1cc(cc(C(F)(F)F)c1)CCCCCCc1ccc(cc1)c1ccc(cc1)*,1.303 ,0.456 ,0.228 ,4.173 
*CC(CC(C)C)[Si](C)(c1ccccc1)*,0.956 ,0.621 ,0.228 ,2.164 
*CC[Si](C)(C)c1ccc(cc1)[Si](C)(C)c1ccc(cc1)O*,1.056 ,0.563 ,0.228 ,2.081 
*CC[Si](C)(C)c1cc(C)c(cc1Cl)/N=N/c1ccc(c(Br)c1)[Si](C)(C)*,1.379 ,0.431 ,0.228 ,3.147 
*c1cc(cc(Cc2ccccc2OC)c1)/C=C(\C)/[Si](C)(C)*,1.058 ,0.561 ,0.228 ,2.560 
*c1ccc(cc1)C(=O)SCCCCCCCCC(=O)c1ccc(cc1)S(=O)(=O)*,1.071 ,0.554 ,0.228 ,3.040 
*c1ccc(cc1)c1ccc(c(CCCCCCCCCCCCCCCCCC(C)C)c1)CN(c1ccccc1)*,0.959 ,0.619 ,0.228 ,4.625 
*Nc1ccc(C(=C(C#N)C#N)c2ccc(Br)cc2)c(c1)C(=O)*,1.406 ,0.422 ,0.228 ,2.901 
*O[Si](C)(C)CNc1ccc([nH]1)*,0.988 ,0.601 ,0.228 ,1.943 
*O[Si](C#N)(CC#N)*,0.974 ,0.610 ,0.228 ,1.629 
*O[Si](C)(CC#N)*,0.974 ,0.610 ,0.228 ,1.408 
*O[Si](C)(O[Si](C)(C)O[Si](C)(C)CCOC(=O)C)*,1.090 ,0.545 ,0.228 ,2.336 
*COc1cc(CCCCCC(C)C)c(cc1OC(CCC)CCCCCCCC)*,0.998 ,0.595 ,0.228 ,3.618 
*O[Si](C)(CCOc1ccc(Oc2ccc(C(C)C)cc2)cc1)*,1.058 ,0.561 ,0.228 ,2.965 
*CCCCS(=O)(=O)C(=O)NCCCO*,1.091 ,0.544 ,0.228 ,2.396 
*O[Si](C)(CC(C)CCCCCCCC)*,0.875 ,0.679 ,0.228 ,2.937 
*NC(CC(F)(F)F)CCCN(OC(C)C)*,1.392 ,0.427 ,0.228 ,3.250 
*O[Si](C)(Cl)c1ccc(cc1)[Si](C)([Si](C)(C)O[SH](C)(O)[Si](C)(C)O)*,1.134 ,0.524 ,0.228 ,2.539 
*/C=C/[Si](C)(C)[Si](C#N)(CCSSC)*,1.017 ,0.584 ,0.228 ,2.204 
*Oc1c(C)cc(cc1OCCCCCC)c1c(Br)cc(cc1Br)S(=O)(=O)*,1.325 ,0.448 ,0.228 ,3.573 
*Oc1ccc(cc1)/C=N/C=N/c1ccc(cc1Br)/N=C/c1ccc(c(C)c1)OC(=O)*,1.417 ,0.419 ,0.228 ,3.407 
*CCC[SH](C)(C)C[Si](C)(C)O[Si](C)(C)*,1.046 ,0.568 ,0.228 ,2.033 
*O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(O[Si](C)(C)OC(C)C)*,0.981 ,0.605 ,0.228 ,2.147 
*Oc1c(C)cc(cc1Br)C(=O)Oc1ccc(cc1)OC(=O)c1ccc(cc1)*,1.413 ,0.420 ,0.228 ,2.425 
*CCCC[Si](C)(C)c1cc(C(C)C)c(cc1Br)*,1.176 ,0.505 ,0.228 ,2.620 
*O[Si](CCCC)(CCC(C)CCC)*,0.885 ,0.671 ,0.228 ,3.040 
*N=P(OCOc1ccc(C(=O)Oc2ccc(/N=N/c3ccc(C#N)cc3)cc2Br)cc1)(c1ccccc1)*,1.421 ,0.418 ,0.228 ,3.684 
*CC(c1cc(OCC[Si](C)(C)O)ccc1C)*,1.007 ,0.590 ,0.228 ,2.788 
*OS(=O)(=O)c1cccc(c1)[Si](C)(C)Oc1ccc(cc1)*,1.146 ,0.518 ,0.228 ,2.207 
*NNC(=O)c1cccc(c1)c1ccc(cc1)S(=O)(=O)O[Si](C)(C)COC(=O)*,1.149 ,0.517 ,0.228 ,3.026 
*Cc1ccc(cc1)C(C)(C)c1ccc(cc1)[Si](CC)(c1ccc(C)cc1)*,1.040 ,0.571 ,0.228 ,2.653 
*Nc1cc(OCC(CC)CC)c(cc1OCCOc1ccc(/C=C/c2ccc(C#N)cc2)cc1)*,1.032 ,0.576 ,0.228 ,3.684 
*OC(=O)Nc1ccc(cc1)/C=C/c1cccc(c1)C(=O)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O*,1.115 ,0.533 ,0.228 ,3.567 
*/C=N/c1ccc(Oc2ccc(CBr)cc2)cc1*,1.409 ,0.421 ,0.228 ,2.612 
*Nc1cc(OCCCC)c(cc1Br)/N=C(\c1ccccc1)/c1ccc(cc1)*,1.246 ,0.476 ,0.228 ,2.551 
*/C=C/c1ccc(cc1C(CC)CCC)c1ccc(cc1)c1ccc(n1CCCCCC)*,1.011 ,0.587 ,0.228 ,4.322 
*O[Si](C)(C[SH]C(=O)O)c1ccccc1OC(=O)c1ccccc1*,1.146 ,0.518 ,0.228 ,2.331 
*O[Si](C)(C)O[Si](C)(C)OC(C)O[Si](C)(C)[Si](C)(C)*,0.979 ,0.607 ,0.228 ,2.092 
*O[Si](C)(C)OC(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O*,0.979 ,0.607 ,0.228 ,2.140 
*OC(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)[Si](C)(C)*,0.979 ,0.607 ,0.228 ,2.216 
*OC(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)*,0.979 ,0.607 ,0.228 ,1.952 
*C(=O)N(c1ccc2nc(C)c(Br)cc2c1)*,1.389 ,0.427 ,0.228 ,2.650 
*/C=C/C=C(\C#C[Si](C)(C)C)/*,0.885 ,0.671 ,0.228 ,1.793 
*SS[Si](c1ccc(Cl)cc1)(c1ccc(Br)cc1)*,1.400 ,0.424 ,0.228 ,1.895 
*O[Si](C)(CCCC(C)CCC(C)C)*,0.883 ,0.673 ,0.228 ,2.874 
*O[Si](OCCO)[Si](C)([Si](C)(C)C)*,0.982 ,0.605 ,0.228 ,1.978 
*O[Si](C)(C)O[Si](C)(C)[Si](C)(O[Si](C)(C)c1ccc([Si](C)(C)c2ccc(C(C)C)cc2)cc1)*,1.048 ,0.567 ,0.228 ,2.952 
